user_id,actor_index
1910489860800512155,289
1912517907447808840,290
1913990837960704356,291
1914293440217088779,292
1914959923511296175,293
1916377766035456654,294
1916884052082689012,295
1917067091509248068,296
1917641199452160199,297
1919909638438912522,298
1921103932948480323,299
1921198464172032558,300
1924299548000256803,301
1924388903452672419,302
1924910616150016162,303
1926253732954112587,304
1927714114109440484,305
1927937058144256307,306
1928778250977280258,307
1932927466209280752,308
1933007308980224871,309
1933726556618752355,310
1933978399408128952,311
1934206552768512187,312
1937721857671168021,313
1938169381519360230,314
1938470046007296537,315
1938822996688896189,316
1939419024064513019,317
1942784374210560569,318
1943171307143168103,319
1944411093073920425,320
1945259374280704633,321
1945875962134528529,322
1948606487592961022,323
1949389480263680421,324
1950037215019008753,325
1951271456079872351,326
1952658092982272228,327
1955172041359360314,328
1956249281232896500,329
1956814186872832311,330
1956878544273408456,331
1957671913652224737,332
1959616074219520622,333
1959792914464768794,334
1960352979877888757,335
1961415246086144676,336
1961721589661696321,337
1961839055339520646,338
1961866762911744888,339
1962006089302016116,340
1963890925633536327,341
1964767644221440047,342
1964861848289280807,343
1967012234395648866,344
1968297595633664020,345
1969188272865280881,346
1969257906700288670,347
1970734259765248060,348
1971828151025664836,349
1972245341667328476,350
1973546045669376603,351
1973561170329600090,352
1974170887913472871,353
1974392439439360753,354
1975106452586496708,355
1975768322146304485,356
1977298471354368505,357
1977982688165888324,358
1978172220375040280,359
1981308544745472954,360
1983081267331072989,361
1983505680564224999,362
1983558042255360214,363
1984591384543232416,364
1984803641491456316,365
1985130990141440832,366
1985837730365440732,367
1986340719689728225,368
1986829666484224332,369
1987331473014784876,370
1987853697417216311,371
1988697901760512134,372
1988806660063232838,373
1988993197539328251,374
1989208273059840459,375
1990126985019392228,376
1990823616970752664,377
1990925395951616794,378
1992086639345664952,379
1992276146388992117,380
1992966369443840839,381
1996881383129088536,382
2000277292974080306,383
2000506117423104398,384
2000761902858240452,385
2001997284769792352,386
2002621942464512772,387
2002987652218880834,388
2003324060565504819,389
2003352019795968398,390
2003718450970624319,391
2003828677279744897,392
2004558821720064713,393
2005286223085568910,394
2008199007830016708,395
2009204759986176713,396
2009234573099008395,397
2010203885142016353,398
2010306570092544187,399
2010478318452736770,400
2010501655560192623,401
2010564050026496748,402
2011255338434560238,403
2011283985530880551,404
2012325213110272575,405
2012541504978944603,406
2012670756651008082,407
2014812687040512212,408
2014881565900800046,409
2014975216320512039,410
2016127651676160480,411
2016460452921344430,412
2016843283824640871,413
2017045667381248860,414
2017855772033024974,415
2018230214328320517,416
2018313488039936675,417
2018651146289152625,418
2019024338681856231,419
2019103510364160316,420
2019927699488768477,421
2019977578151936904,422
2020032783581184615,423
2020067764076544589,424
2020071295680512743,425
2020374367698944715,426
2020405783035904854,427
2020506505052160284,428
2020860453978112743,429
2021423539290112471,430
2021946376060928872,431
2021999635333120312,432
2022022561398784034,433
2022599160758272291,434
2023307838750720906,435
2023369125920768031,436
2023392127483904656,437
2024094740512768231,438
2024266035888128861,439
2024327943815168879,440
2024363838668800759,441
2025118922440704910,442
2025641885040640417,443
2025757463281664952,444
2025848353849344984,445
2026342375751680171,446
2026396784263168698,447
2026408561868800553,448
2026516330315776452,449
2026694219137024867,450
2026948695949312400,451
2026955717214208450,452
2026984800518144650,453
2027125745909760422,454
2027139243180032242,455
2027221216657408893,456
2027259409989632379,457
2027811833380864759,458
2028007673823232103,459
2028363023646720137,460
2029334021799936669,461
2030045652582400975,462
2030079257346048028,463
2030173671129088086,464
2030654531305472410,465
2030805794684928362,466
2031349426814976626,467
2031541802762240238,468
2031576271552512929,469
2031663110422528179,470
2032157954408448170,471
2032330617126912759,472
2032475471609856723,473
2032928498384896891,474
2033654767288320402,475
2034171681701888535,476
2034441291563008841,477
2034625295679488041,478
2035176745992192170,479
2035193363824640231,480
2035706947960832654,481
2035843556442112339,482
2036083311247360563,483
2036358868631552805,484
2036751992356864346,485
2037193140862976456,486
2037449177956352801,487
2037475761455104458,488
2038022941966336433,489
2039565229490176872,490
2039624872493056068,491
2039696804806656658,492
2040093837623296539,493
2040252583641088777,494
2040695913185281003,495
2041160977612800888,496
2041667272048640276,497
2041733961482240791,498
2041770032496640094,499
2042337966424064326,500
2042425694486528341,501
2043676243001344907,502
2044087192518656277,503
2044370928795648820,504
2044421956698112066,505
2045876902035456450,506
2045880752406528236,507
2046046444191744948,508
2046123292229632969,509
2046609999265792483,510
2047315749634048896,511
2048132447731712951,512
2048734540070912907,513
2048905852223488248,514
2048907051794432124,515
2049446607060992438,516
2049832994734080713,517
2050390073802752784,518
2051162446495744094,519
2051602387042304629,520
2051753373597696943,521
2052351816892416027,522
2052382552752128702,523
2052459308515328132,524
2052596084768768078,525
2052965963661312254,526
2053226010509312036,527
2053293236813824353,528
2054613578547200819,529
2055570743885824871,530
2056275881885696549,531
2057077446934528669,532
2059056747380737019,533
2060392532541440379,534
2060456009138176470,535
2060514855223296020,536
2060591023783936694,537
2060921023234048076,538
2061304407785472302,539
2062240341557248420,540
2062641107304448635,541
2062771415941120822,542
2066375421984769004,543
2066476781535232701,544
2066888242757632517,545
2067065611485184548,546
2067619049897984050,547
2068271146729472171,548
2069672715354112135,549
2069766348996608776,550
2070587627274240421,551
2070651087093760562,552
2071443533725696297,553
2072079692201984679,554
2072169399975937018,555
2072856385028096845,556
2074017318043648090,557
2074131956760576866,558
2075506556010496607,559
2075509634629632315,560
2077142191964160656,561
2077642572431360101,562
2077836131172352657,563
2079441341644800898,564
2080846441873409018,565
2081053413998592737,566
2081356972556288902,567
2081442980954112731,568
