user_id,seed_type,degree_in_subset,sent_events
2024076033916928101,pattern02,2,3
2159932300328960767,pattern02,1,3
1880850090164224277,pattern02,3,5
2011146789847040963,pattern02,2,3
1937121761820672340,pattern02,2,8
1793237832433665004,pattern02,2,3
1681200355737600690,pattern02,1,3
2002315724718080217,pattern02,1,5
1854742242263040922,pattern02,1,5
2322991723577344159,pattern02,1,3
2009144303288320717,pattern02,3,3
1815437453033472297,pattern02,1,4
2093359988473857002,pattern02,1,3
1824954328809472233,pattern02,1,3
2132130591145984000,pattern02,1,3
1922566302203904600,pattern02,1,3
1833686441918464562,pattern02,3,3
1408684278153216258,pattern02,1,3
2279382127214592724,pattern02,1,4
2166945034010624922,pattern02,3,3
2445862827458560778,pattern02,1,7
2270599212695552570,pattern02,4,3
2066979049439232647,pattern02,3,3
2130270408933376262,pattern02,1,3
1445256394440704250,pattern02,1,3
1860926500241408827,pattern02,2,6
1985327468118016940,pattern02,3,3
2281407464341504206,pattern02,5,3
2040037650726912083,pattern02,1,3
1787317035466752413,pattern02,3,6
2246226237980672426,pattern02,2,3
1557582699298816063,pattern02,1,4
1789615614722048114,pattern02,3,3
1790130918522880303,pattern02,3,5
2324483360686080269,pattern02,1,3
2038837568077824443,pattern02,11,3
1850390660251648348,pattern02,2,3
2247504192077824545,pattern02,2,3
2297531635597312557,pattern02,2,3
1799741469884416298,pattern02,2,5
1981502204149760055,pattern02,2,3
2433097236742144702,pattern02,1,4
2433764835721216465,pattern02,2,5
1945168634707968788,pattern02,6,7
2291795287343104037,pattern02,1,4
1604172189270016267,pattern02,1,3
2051297746354176701,pattern02,2,4
2024323707568128236,pattern02,3,3
2018573476167680230,pattern02,3,4
1920729742311424041,pattern02,2,3
2188946121424896736,pattern02,3,3
2096260039311360839,pattern02,1,3
1596761088983040864,pattern02,3,5
1892456576581632194,pattern02,2,3
2003836562571264203,pattern02,2,3
2291695051866112626,pattern02,1,3
2132789264646144771,pattern02,2,3
2083709238902784783,pattern02,1,4
2272701657907200663,pattern02,2,3
2112151451860992462,pattern02,1,5
1994616224088064667,pattern02,1,4
1934678621683712902,pattern02,3,5
1818381082689536759,pattern02,2,3
2231726579384320933,pattern02,2,6
2292678305775616797,pattern02,3,3
1754439396360192190,pattern02,1,3
1906163654328320556,pattern02,2,4
1876307138838528269,pattern02,1,3
1906792455995392219,pattern02,3,5
1794449055154176557,pattern02,2,6
1932188748611584570,pattern02,1,3
2286722477981696694,pattern02,1,3
2126406255378432930,pattern02,1,3
1781613696385024725,pattern02,2,3
1778657173438464753,pattern02,2,3
2205620551811072649,pattern02,2,3
2145555283181568693,pattern02,2,3
1923502345027584860,pattern02,3,5
1995371291082752807,pattern02,5,3
1822203754577920203,pattern02,2,3
2133737059909632332,pattern02,9,14
1769197851901952748,pattern02,1,3
2286777431752704855,pattern02,1,4
2207474392236032304,pattern02,2,4
1899479284318208583,pattern02,1,3
2082359327326208782,pattern02,1,3
2025191551008768448,pattern02,2,3
2291815269007360216,pattern02,1,3
2146896478994432976,pattern02,3,5
1704774709805056656,pattern02,1,4
2303520791330816688,pattern02,5,3
2512767227527168032,pattern02,1,3
2046231815651328575,pattern02,2,4
2033915049017344523,pattern02,3,4
1758319563767808659,pattern02,2,4
1950553768722432624,pattern02,3,3
2105459741818880469,pattern02,2,5
2290865594695680166,pattern02,3,3
2045421367066625005,pattern02,3,4
1537372873293824197,pattern02,2,3
1785861158993920652,pattern02,3,3
1568212533641216384,pattern02,0,3
1697989181571072486,pattern02,0,3
2480278274572288467,pattern02,0,4
2263530443112448400,pattern02,0,4
2298867320094720445,pattern02,0,4
2295280946905088712,pattern02,0,3
1811049447686144813,pattern02,0,3
1959024627023872543,pattern02,0,4
2288958511775744125,pattern02,0,4
1988729082216448446,pattern02,0,3
1781607664975872845,pattern02,0,3
