sender_id,receiver_id,weight
2066979049439232647,1890845032710144189,1
2066979049439232647,2042939094073344193,1
2066979049439232647,2052065790525440478,1
2068506505904128336,2322991723577344159,1
2071339397545984992,1667840524419072028,1
2071339397545984992,1958303106072576239,2
2072680358477824017,2362199540498432269,1
2075533466664960191,1846678919315456109,2
2076619732680704077,2056011884003328439,1
2076930857762816209,1920729742311424041,1
2082359327326208782,2030044016803840592,1
2083709238902784783,2071865346490368168,1
2085169586503680671,1995371291082752807,1
2087967287934976056,2309710636122112725,1
2091757370081280526,2476939843469312394,1
2093359988473857002,2082431108644864561,1
2096260039311360839,2172864170033152951,1
2099704292704256293,2326563676749824636,1
2102641647681536504,1880850090164224277,1
2102656411631616949,2133737059909632332,1
2103404516081664055,2103343346352128931,1
2103404516081664055,2261471274729472419,1
2105459741818880469,2312021982838784059,1
2111343687630848401,1748158057021440601,1
2111343687630848401,1780162140045312487,1
2111708734685184745,1980587124457472203,1
2112151451860992462,2122938010566656678,1
2120210244960257013,2203963348746240529,2
2120210244960257013,2238976031195136563,1
2120210244960257013,2278757897338880042,2
2122764810977280959,1775020342771712881,1
2124505329696768536,2033929410314240919,1
2125862119931904074,2028423673282560983,2
2126406255378432930,2078127593357312985,1
2127302242598912651,2225760978862080495,2
2127302242598912651,2227985067278336815,1
2127302242598912651,2319073698381824593,4
2127302242598912651,2367171560734720846,1
2127302242598912651,2414840530337792842,1
2127302242598912651,2422129316331520792,2
2127302242598912651,2504576422903808724,2
2127779579559936033,1899479284318208583,1
2130270408933376262,1320405042200576741,1
2131351406903296706,1813393853906944121,1
2131536929357824224,2166945034010624922,1
2131570685116416465,2159059054624768682,3
2131570685116416465,2496663407034368422,2
2132130591145984000,2172981761540096611,1
2132789264646144771,2430791812382720358,2
2133737059909632332,2039725267353600466,1
2133737059909632332,2217260953370624583,1
2133737059909632332,2262184046362624514,1
2134471121829888680,1995371291082752807,1
2134471121829888680,2028695581622272630,1
2136626717261824642,2067698271911936345,1
2136911871213568399,1906163654328320556,1
2141711589441536168,2091757370081280526,2
2143102236098560670,1790130918522880303,1
2145555283181568693,1882942125113344961,1
2145555283181568693,2094751440437248843,1
2146896478994432976,2020077989789696448,1
2146896478994432976,2187481512411136671,1
2148432567336960777,1719099071660032671,1
2153168431480832501,1854135787847680475,1
2159059054624768682,2131570685116416465,1
2159059054624768682,2496663407034368422,1
2161306295599104826,2012566385590272918,1
2161392446603264699,2271295559434240092,1
2161973592588288330,2164338483789824028,2
2161973592588288330,2361600862322688360,3
2161973592588288330,2429428915240960444,2
2164338483789824028,2012549734203392577,1
2164338483789824028,2161973592588288330,1
2164338483789824028,2361600862322688360,1
2164338483789824028,2429428915240960444,1
2165707840159744272,2087967287934976056,1
2167743017123840485,2184765046259712961,1
2167743017123840485,2312620182863872024,1
2169805440286720863,1794509956448256270,1
2172993866301440288,1641632055164928984,3
2172993866301440288,2279472187310080453,1
2172993866301440288,2534646151643136877,2
2174422689513472640,2195460479516672231,1
2178508528812032553,2159932300328960767,1
2180818273304576989,1963544241242112523,1
2183046111428608525,2009144303288320717,1
2183046111428608525,2407156523466752495,1
2183172494196736972,1937121761820672340,1
2183692814385152884,2425878571122688441,1
2187204411523072848,1785861158993920652,1
2188167113342976336,2290865594695680166,2
2188946121424896736,1888869356142592450,1
2188946121424896736,2014193557438464582,1
2188946121424896736,2294809834291200090,1
2191619881172992994,2286722477981696694,1
2193793436614656899,2050971102347265016,1
2193933627031552295,2091757370081280526,1
2195460479516672231,2275783666040832259,2
2198096633135104173,1932410098810880996,1
2199073939521536726,2142281737961472845,1
2201884861399040413,2134619952513024340,2
2203183459860480585,2057643812192256062,1
2203194239221760413,1666914220769280800,1
2203194239221760413,2083925799206912937,1
2203963348746240529,2120210244960257013,1
2203963348746240529,2278757897338880042,1
2204053475950592284,1898809747570688208,3
2205620551811072649,2000506117423104398,1
2205620551811072649,2279144410841088825,1
2206178914336768928,1755535158280192639,1
2206178914336768928,2270230927638528275,1
2207474392236032304,2080232278327296080,1
2209764817764352630,2137325547028480018,1
2210697488367616397,2077239860527104953,1
2217260953370624583,2133737059909632332,1
2220924401090560625,2039725267353600466,1
2220924401090560625,2133737059909632332,3
2220924401090560625,2262184046362624514,1
2221331240189952115,2267724931661824849,1
2221837685620736366,2019969306984449018,1
2222012143501312061,2191398153486336785,2
2222012143501312061,2309710636122112725,2
2222149129469952519,2134471121829888680,1
2224363201888256703,2038837568077824443,1
2224363201888256703,2244416219643904398,1
2225760978862080495,2319073698381824593,2
2225760978862080495,2414840530337792842,1
2225760978862080495,2504576422903808724,1
2227403334090752020,2250327285825536165,2
2231635722371072722,2087967287934976056,1
2232080452812800411,1973344601636864120,1
2233018391461888389,2023029496348672961,1
2237891971383296693,1850390660251648348,1
2243379052150784492,2243966078550016223,1
2244416219643904398,2038837568077824443,1
2244416219643904398,2224363201888256703,1
2246226237980672426,2298180326653952262,2
2246819857825792649,2254797969293312044,2
2246819857825792649,2256799843483648902,1
2247504192077824545,2001057995554816398,1
2250250530062336912,1775020342771712881,1
2250327285825536165,2196526101168128113,1
2250327285825536165,2227403334090752020,3
2251058327846912341,1641632055164928984,1
2254797969293312044,2246819857825792649,1
