user_id,seed_type,degree_in_subset,sent_events
1537372873293824197,pattern02,1,3
2019969306984449018,pattern02,0,4
2109245243785216928,pattern02,0,3
1885033472196608372,pattern02,0,3
1888834157543424650,pattern02,0,3
1361115485306880006,pattern02,0,4
1479975031013376108,pattern02,1,3
2424441921339392909,pattern02,0,4
2066063575482368533,pattern02,0,3
2342423120314368628,pattern02,0,3
1788250519764992128,pattern02,0,4
1790130918522880303,pattern02,0,5
2247504192077824545,pattern02,0,3
2279382127214592724,pattern02,0,4
1751330553069568362,pattern02,0,3
2516510895505408333,pattern02,1,19
1896839976583168619,pattern02,0,3
1791029304885248323,pattern02,0,3
2286777431752704855,pattern02,0,4
1759016346714112878,pattern02,1,5
1601137794875392364,pattern02,0,3
2292430766342144383,pattern02,0,5
2377332866154496999,pattern02,0,3
2277804674646016754,pattern02,0,3
1825523688800256206,pattern02,0,5
2302650011877376790,pattern02,0,4
1782058066116608147,pattern02,0,4
2087967287934976056,pattern02,1,3
2096260039311360839,pattern02,0,3
2002606222213120531,pattern02,0,4
1923681928347648883,pattern02,1,5
1568212533641216384,pattern02,0,3
1707407088549888299,pattern02,0,4
2425878571122688441,pattern02,0,3
2048123832631296544,pattern02,0,4
2419897946603520343,pattern02,0,3
2135458058338304637,pattern02,0,3
1648329318465536485,pattern02,0,5
2222985985392640560,pattern02,0,3
1988620802064384040,pattern02,0,3
2100438690168832755,pattern02,0,3
1605270333554688188,pattern02,0,4
1902349983416320470,pattern02,0,3
2124505329696768536,pattern02,0,5
1780576084295680942,pattern02,0,3
1945101970440192661,pattern02,0,4
2267724931661824849,pattern02,0,4
2025191551008768448,pattern02,0,3
2270230927638528275,pattern02,0,5
1811049447686144813,pattern02,1,3
1785861158993920652,pattern02,0,3
2081532411904000296,pattern02,0,3
2049053516890112395,pattern02,0,7
1959024627023872543,pattern02,0,4
1814164649541632304,pattern02,0,4
1658336885866496717,pattern02,0,4
2000277292974080306,pattern02,0,3
1521092908810240378,pattern02,0,3
2192280442109952707,pattern02,0,4
2086457799868416970,pattern02,0,4
2255520027115520156,pattern02,0,8
1596761088983040864,pattern02,0,5
1917709465944064823,pattern02,0,4
2260612365156352264,pattern02,0,6
1960365311131648934,pattern02,0,4
2309270821404672516,pattern02,0,3
2099645144629248517,pattern02,0,4
1899479284318208583,pattern02,0,3
2006950975897600769,pattern02,0,4
2199734995386368041,pattern02,0,3
2042338855616512558,pattern02,0,3
1863423990169600484,pattern02,0,3
2183703862181888112,pattern02,0,4
2142281737961472845,pattern02,0,3
2145555283181568693,pattern02,0,3
1773546078470144205,pattern02,0,3
2003398417186816034,pattern02,0,3
1985327468118016940,pattern02,0,3
2091953780948992708,pattern02,0,4
2300850991005696396,pattern02,0,5
1824954328809472233,pattern02,0,3
2552531695697920704,pattern02,0,3
2377852691415040713,pattern02,0,3
1956300871172096449,pattern02,0,3
2346612441481216495,pattern02,0,3
1833734902906880288,pattern02,0,3
2166945034010624922,pattern02,0,3
2125862119931904074,pattern02,0,3
2497304690950144312,pattern02,0,3
2272701657907200663,pattern02,0,3
2284701326770176569,pattern02,0,4
1921390320025600482,pattern02,0,6
1854742242263040922,pattern02,0,5
2518505245114368959,pattern02,0,4
2091757370081280526,pattern02,0,4
2032325558796288334,pattern02,0,3
2082359327326208782,pattern02,0,3
2053986546876416681,pattern02,0,3
2075533466664960191,pattern02,0,3
1294562970566656855,pattern02,0,4
2528088558665728145,pattern02,0,4
1506840034672640710,pattern02,0,3
2240847814852608484,pattern02,0,3
1920729742311424041,pattern02,1,3
1861925457625088472,pattern02,0,3
1787317035466752413,pattern02,0,6
1362768863166464227,pattern02,0,3
2046231815651328575,pattern02,0,4
2298867320094720445,pattern02,0,4
2263690422255617008,pattern02,1,5
2017255541964800392,pattern02,0,3
2454853829787648137,pattern02,0,4
1992131828776960256,pattern02,0,3
2047011067002881003,pattern02,0,3
2225104780001280032,pattern02,0,3
2258459303084032844,pattern02,0,5
2468653920419840279,pattern012,0,14
1906243488710656698,pattern012,1,3
2051641998049280905,pattern012,0,6
2154649037570048563,pattern012,0,4
2268667316273152201,pattern012,0,8
1540664110088192844,pattern012,0,6
2244708604575744617,pattern012,0,6
2218319302098944512,pattern012,0,8
1773380596400128117,pattern012,0,4
2232515678961664648,pattern012,0,5
2272234236280832516,pattern012,0,4
2263600748036096292,pattern012,0,4
1792237222494208277,pattern012,0,3
1755883839160320033,pattern012,0,6
2126432083902464318,pattern012,0,3
2001924303880192461,pattern012,0,6
1903129444483072067,pattern012,0,4
2099874405285888383,pattern012,0,4
2037451803590656050,pattern012,0,5
2387851392057344779,pattern012,0,8
1790199596056576229,pattern012,0,5
1926236855074816426,pattern012,0,6
2280694214557696999,pattern012,1,12
2048032103202816472,pattern012,0,5
1772288500301824401,pattern012,0,9
2249756197781504171,pattern012,0,3
2072146868174848912,pattern012,0,5
2243244775702528325,pattern012,0,5
1907562161111040684,pattern012,0,4
2354231520526336114,pattern012,0,4
2358916331601920744,pattern012,0,5
2209076624752640007,pattern012,0,4
2219905084555264020,pattern012,0,6
1572805506236416568,pattern012,0,5
2370655953616896883,pattern012,1,4
2398246966132736987,pattern012,0,5
2289798177882112034,pattern012,0,5
2401704238645248541,pattern012,0,3
2275163118764032732,pattern012,0,6
2012069930991617018,pattern012,0,3
2286669873020928219,pattern012,0,5
2001015725359104535,pattern012,0,4
2271351746330624426,pattern012,0,6
2125895976353792226,pattern012,0,7
2314912202227712014,pattern012,0,6
1564126820171776443,pattern012,0,4
1883800917245952480,pattern012,0,4
1880163465822208696,pattern012,0,9
1909915257929728177,pattern012,0,3
1502404373643264803,pattern012,0,3
1640967257980928083,pattern012,0,4
2391893828698112942,pattern012,0,4
2090948708270080616,pattern012,0,3
2482089450536960792,pattern012,0,5
1945846534897664050,pattern012,0,4
2166333638705152088,pattern012,0,4
1988796946055168802,pattern012,0,15
2250289511923712717,pattern012,1,5
1793936905469952259,pattern012,0,5
2269957517737984016,pattern012,0,4
2155776718143488035,pattern012,0,8
2008982545760256461,pattern012,0,11
2308494069858304294,pattern012,1,5
1880075863588864584,pattern012,1,4
2300713526886400561,pattern012,0,3
2472598940155904317,pattern012,0,5
2031390925258752582,pattern012,0,3
1696650166796288510,pattern012,0,5
1739293773004800249,pattern012,1,5
2043768140201984086,pattern012,0,5
2363328336756736618,pattern012,0,3
2296726891266048762,pattern012,0,8
1974918094782464577,pattern012,0,6
2109702615859200329,pattern012,0,9
1537129125511168093,pattern012,0,3
1684191750127616479,pattern012,0,4
1992785435557888567,pattern012,0,7
2051184542089216870,pattern012,0,3
1939961121079296772,pattern012,0,5
2274331656716288579,pattern012,0,3
2092102334808064685,pattern012,0,3
1791531405017088196,pattern012,0,3
2186803889045504044,pattern012,0,5
2023517646225409020,pattern012,0,3
2020548129325056361,pattern012,0,8
2089747056951296835,pattern012,0,5
2281076139491328078,pattern012,0,11
2502809236799488692,pattern012,0,8
2307079607943168556,pattern012,0,4
1297218040496128951,pattern012,0,4
2421005578403840466,pattern012,0,6
2069146607026176794,pattern012,0,5
2500567171596288558,pattern012,0,4
1758960277258240188,pattern012,0,4
2057534097588224317,pattern012,0,4
2042393784221696143,pattern012,0,6
2290292174618624810,pattern012,0,6
1994665649766400474,pattern012,0,5
1540620388663296933,pattern012,0,12
1774460260581376881,pattern012,1,6
1590054329778176924,pattern012,0,4
2279899897266176257,pattern012,0,3
2109045284536320380,pattern012,0,7
2291040094519296936,pattern012,0,6
2052749285916672289,pattern012,0,4
1245018593427456186,pattern012,0,3
1900957524819968763,pattern012,0,7
1067636888698880089,pattern012,0,4
2478602675290112773,pattern012,0,3
1903163577729024638,pattern012,0,4
2249603432841216251,pattern012,0,4
2169227481972736252,pattern012,1,6
2040244916453376229,pattern012,0,4
2337777475649536953,pattern012,0,3
2233663920013312738,pattern012,1,8
2277061024546816040,pattern012,0,3
2079305127428096671,pattern012,0,5
2481385419833344508,pattern012,0,5
2312701367812096048,pattern012,0,5
1984321573355520246,pattern012,1,5
