user_id,reappeared,w1_events,w1_partners,w1_max_tie,w1_recip_frac,tenure_days,peer_w1_events,peer_w3_frac
2349066117709824987,0,4,4,3,0.25,30,16,0.0
2129320558460928784,0,5,5,1,0.0,29,0,0.0
1982270986518528603,0,3,0,0,0.0,19,0,0.0
1936412572123136604,0,3,2,1,0.0,32,2,0.0
2238203062910976872,0,5,5,3,0.4,32,18,0.0
2425783117152256735,0,3,1,1,0.0,32,2,0.0
2120825431916544789,0,3,2,3,0.0,26,2,0.5
1819136879493120166,1,3,3,1,0.0,20,1,0.0
1842288640655360611,0,3,1,2,0.0,31,3,0.0
1537261690683392907,0,3,2,1,0.0,24,2,0.0
1248710394642432428,0,3,2,1,0.0,25,1,0.0
1787781890179072135,0,3,3,1,0.0,23,0,0.0
1501785353093120510,0,3,2,1,0.0,23,1,0.0
1634970384728064295,1,3,2,3,0.0,6,5,0.0
2274056745254912008,0,4,2,3,0.0,27,0,0.0
1803839111954432623,0,3,1,3,0.0,28,1,0.0
2066322657640448199,0,3,2,1,0.0,32,4,0.0
2036419602153472808,0,3,0,0,0.0,29,0,0.0
2178637663043584125,0,3,4,2,0.0,25,5,0.0
1929727421972480363,0,3,7,2,0.2857142857142857,20,11,0.0
2324979253248000623,0,8,7,2,0.14285714285714285,32,13,0.0
1643772106506240580,0,3,1,1,0.0,31,0,0.0
2204137152315392340,0,3,3,2,0.3333333333333333,31,4,0.0
1476904272003072842,0,5,5,2,0.0,32,5,0.0
2055421040787456706,0,3,3,1,0.0,4,7,0.0
2139598817853440686,0,3,3,2,1.0,31,3,0.3333333333333333
2541038379991040155,0,3,2,2,0.0,21,0,0.0
2271475973226496021,0,3,1,3,0.0,21,1,0.0
1717119897042944570,0,4,1,1,0.0,32,0,0.0
2362796524175360724,0,3,3,1,0.0,22,4,0.0
1805508159733760479,0,3,3,1,0.0,27,1,0.0
1581317074452480936,0,4,1,5,1.0,32,2,0.0
2055306595008512718,0,3,2,2,0.5,24,1,0.0
1590356990754816309,0,3,3,1,0.0,27,0,0.0
1641519421325312006,0,5,2,1,0.0,32,2,0.0
2190910297210880083,0,5,4,2,0.0,29,4,0.0
2308948942127104474,0,3,1,4,1.0,15,1,0.0
2504033059209216125,0,4,1,4,0.0,33,0,0.0
2438825833922560573,0,3,1,3,0.0,21,3,0.0
2387951208103936843,1,3,1,1,0.0,21,0,0.0
1763156594524160399,0,3,5,1,0.0,21,10,0.0
1601789480665088868,0,3,3,2,0.3333333333333333,34,4,0.0
1956139944116224950,0,3,3,1,0.0,27,0,0.0
2138102281797632784,0,3,4,1,0.0,32,3,0.0
1107268154163200541,0,3,0,0,0.0,30,0,0.0
1230502476382208066,1,3,0,0,0.0,24,0,0.0
1940718452998144516,0,3,3,1,0.0,33,2,0.0
2221993906667520463,0,3,4,1,0.0,28,2,0.0
2310625682259968361,0,3,4,1,0.0,16,2,0.0
1682661869355008657,0,3,2,2,0.0,28,0,0.0
2009471769378816008,0,3,1,1,0.0,28,2,0.0
1878639113142272822,0,4,3,1,0.0,31,2,0.0
2062108774629376095,0,3,3,3,0.3333333333333333,12,2,0.0
2306008844075008991,0,3,2,1,0.0,27,1,0.0
1737213809262592493,0,3,2,1,0.0,29,1,0.0
1756878400913408305,0,3,1,2,0.0,24,1,0.0
1229140292272128473,0,3,2,2,0.0,32,0,0.0
1423650779561984562,0,3,1,2,0.0,23,0,0.0
1649660313731072448,0,3,4,2,0.0,22,4,0.0
1818433452769280965,1,3,2,2,0.0,20,0,0.0
1585188517707776841,0,4,4,2,0.0,33,2,0.0
2141761635876864147,0,3,1,3,0.0,24,0,0.0
1387265091698688955,0,5,0,0,0.0,24,0,0.0
2074391315742720874,0,3,3,1,0.0,27,2,0.0
1864430254030848428,0,3,4,1,0.0,27,3,0.0
1611157232156672501,0,3,2,1,0.0,32,4,0.0
1657995528241152460,0,3,2,2,0.0,22,0,0.0
2188057851723776456,0,3,2,2,0.0,16,8,0.0
1697943505600512921,0,4,1,1,0.0,26,1,0.0
1759641868435456103,0,5,6,2,0.5,31,10,0.0
2024846795997184262,0,3,1,1,0.0,6,0,0.0
2259867439988736488,0,3,0,0,0.0,30,0,0.0
1558263166402560429,0,3,2,1,0.0,30,3,0.0
2172267941330944914,0,3,1,4,1.0,27,2,0.0
1388111770681344756,0,3,2,2,0.0,29,0,0.0
1633487622766592808,0,3,4,1,0.0,27,3,0.0
1836655052849152744,0,6,2,2,0.0,27,2,0.0
1368224302104576352,0,3,2,2,0.0,30,1,0.0
1956864015204352660,0,3,1,1,0.0,33,0,0.0
2170513732403200316,0,3,0,0,0.0,19,0,0.0
2360591570173952307,0,3,2,2,0.5,26,2,0.0
1316949598404608746,0,3,5,1,0.0,15,5,0.0
1776616703262720867,0,4,1,2,0.0,30,0,0.0
2009928940126208975,0,3,1,3,0.0,7,0,0.0
1739101858430976252,0,5,3,2,0.3333333333333333,34,2,0.0
1151699783778304783,0,3,1,1,0.0,23,2,0.0
1682182493962240181,0,3,2,1,0.0,31,2,0.0
2006049133428736443,0,3,3,1,0.0,32,3,0.0
1575720815951872293,0,6,7,3,0.0,7,7,0.0
1699532484116480734,0,3,0,0,0.0,33,0,0.0
1494663735279616353,0,3,0,0,0.0,29,0,0.0
1648907486494720026,0,3,3,2,0.3333333333333333,31,2,0.0
2106061716717568563,0,4,4,2,0.0,28,6,0.0
2508909407371264574,0,3,1,3,0.0,30,0,0.0
