user_id,seed_type,degree_in_subset,sent_events,window_pattern,label,date_joined,username,account_age_days_at_start
2290391118249985004,pattern02,2,4,02,reappeared_skipW2,2017-08-27T03:18:18,Leo-Tuchman,332.0
2326551236444160719,pattern02,1,3,02,reappeared_skipW2,2017-10-16T00:42:00,ishatyle,282.0
2260255178227712649,pattern02,2,4,02,reappeared_skipW2,2017-07-16T13:23:34,AlexPastor,374.0
2395468382339072044,pattern02,3,3,02,reappeared_skipW2,2018-01-19T02:48:04,Blake-Shields-1,187.0
1279462150766593022,pattern02,2,3,02,reappeared_skipW2,2013-11-01T07:42:54,schulamie-ahn,1727.0
1640139998625792708,pattern02,2,4,02,reappeared_skipW2,2015-03-13T23:05:24,Natalie-Fiacco,1230.0
1631631408365568097,pattern02,1,4,02,reappeared_skipW2,2015-03-02T05:20:21,Paul-Baik,1241.0
2023396321787904468,pattern02,1,4,02,reappeared_skipW2,2016-08-23T18:07:18,tamarateingy,701.0
2203183459860480585,pattern02,1,4,02,reappeared_skipW2,2017-04-28T19:32:15,kaija-jensen-1,453.0
2204053475950592284,pattern02,1,4,02,reappeared_skipW2,2017-04-30T00:20:49,Robyn-Zagorski,451.0
2127302242598912651,pattern02,7,14,02,reappeared_skipW2,2017-01-14T02:49:49,pacqui,557.0
2024076033916928101,pattern02,2,3,02,reappeared_skipW2,2016-08-24T16:37:46,henrysiebert,700.0
2159932300328960767,pattern02,1,3,02,reappeared_skipW2,2017-02-28T03:19:55,elanemoon,512.0
1880850090164224277,pattern02,3,5,02,reappeared_skipW2,2016-02-09T01:53:23,JacobSaki,897.0
2011146789847040963,pattern02,2,3,02,reappeared_skipW2,2016-08-06T20:29:40,genghis_kung,718.0
1937121761820672340,pattern02,2,8,02,reappeared_skipW2,2016-04-26T17:15:09,Kevin-Krause-6,820.0
1793237832433665004,pattern02,2,3,02,reappeared_skipW2,2015-10-11T04:43:28,Zack_Kline,1018.0
1681200355737600690,pattern02,1,3,02,reappeared_skipW2,2015-05-09T14:45:00,iamConnorJones,1173.0
2002315724718080217,pattern02,1,5,02,reappeared_skipW2,2016-07-25T16:03:55,Jack-Sturgeon-1,730.0
1854742242263040922,pattern02,1,5,02,reappeared_skipW2,2016-01-04T01:21:45,BrettAnthony414,933.0
2322991723577344159,pattern02,1,3,02,reappeared_skipW2,2017-10-11T02:49:53,Taylornoliva,287.0
2009144303288320717,pattern02,3,3,02,reappeared_skipW2,2016-08-04T02:11:05,CarterSiedel,720.0
1815437453033472297,pattern02,1,4,02,reappeared_skipW2,2015-11-10T19:50:09,Cassie-Vlahos,988.0
2093359988473857002,pattern02,1,3,02,reappeared_skipW2,2016-11-28T06:52:37,Jenny-Thach-1,604.0
1824954328809472233,pattern02,1,3,02,reappeared_skipW2,2015-11-23T22:58:29,Matthew-Lloyd-3,975.0
2132130591145984000,pattern02,1,3,02,reappeared_skipW2,2017-01-20T18:42:53,AidanDowling,551.0
1922566302203904600,pattern02,1,3,02,reappeared_skipW2,2016-04-06T15:16:03,Matthew-Sewell2,840.0
1833686441918464562,pattern02,3,3,02,reappeared_skipW2,2015-12-06T00:07:38,kingcoreyn,962.0
1408684278153216258,pattern02,1,3,02,reappeared_skipW2,2014-04-28T14:44:12,derek-ruan,1549.0
2279382127214592724,pattern02,1,4,02,reappeared_skipW2,2017-08-11T22:45:24,Huddleston-Nicole,348.0
2166945034010624922,pattern02,3,3,02,reappeared_skipW2,2017-03-09T19:32:58,ShiyuanWangtiger,503.0
2445862827458560778,pattern02,1,7,02,reappeared_skipW2,2018-03-29T15:32:50,Kaylee-Kerdock,118.0
2270599212695552570,pattern02,4,3,02,reappeared_skipW2,2017-07-30T19:55:19,avvilla,360.0
