user_id,date_joined,username
2190172150038528795,2017-04-10T20:41:06,Caroline-Daigle-1
2271295559434240092,2017-07-31T18:58:50,krisssa
2293768917090304567,2017-08-31T19:09:23,Doug-Rosman1
1785021719379968004,2015-09-29T20:39:31,shelbycannon21
1817279490686976359,2015-11-13T08:49:57,Ronald-Conno
1728388398055424617,2015-07-13T17:19:13,Daniel-Morrill
2270230927638528275,2017-07-30T07:43:36,ryanrwong
2272701657907200663,2017-08-02T17:32:30,TBrax
2017255541964800392,2016-08-15T06:46:40,Shuyin-Xu
2305081416351744815,2017-09-16T09:45:18,Cameron-Barr-8
2281396492042240104,2017-08-14T17:27:35,fernand0_garcia
2039725267353600466,2016-09-15T06:50:00,huanglasttime
2067135010439168195,2016-10-23T02:28:16,Daniel_Almog
2047011067002881003,2016-09-25T08:05:35,kliubugsyou
2057395215794176762,2016-10-09T15:57:02,Jazlyn-Sward
1839789405896704828,2015-12-14T10:13:08,Jack-Warwick
2270808391024640211,2017-07-31T02:50:55,Mackenzie-Hughes-4
2419897946603520343,2018-02-21T19:45:15,Aidan-Ireton
2127302242598912651,2017-01-14T02:49:49,pacqui
1439187068780544781,2014-06-09T16:47:48,megan-morales-2
1959024627023872543,2016-05-26T22:32:14,Taylorginsberg
1506660963057664905,2014-09-10T19:06:23,brian-aylward-1
1620656491855872677,2015-02-15T01:55:09,Luke-Zeccola
1666914220769280800,2015-04-19T21:41:00,Jo-jo-also
1717534688542720955,2015-06-28T17:54:50,Rachel-Yaggi
1811049447686144813,2015-11-04T18:31:58,BradyRochon
1465306476183552079,2014-07-15T17:42:24,lindsay-connors-1
2059003152564224267,2016-10-11T21:11:43,SumanaKaluvai
2010746099597312930,2016-08-06T07:13:34,drewabrahamsen
1970563702587392865,2016-06-11T20:38:19,SammyBurton
1666994650742784408,2015-04-20T00:20:48,Brandon_Hergott
2050898960318464731,2016-09-30T16:50:08,Elaine-Atzmon
1998730324606976114,2016-07-20T17:20:22,francescafederico
1769917569302528160,2015-09-09T00:30:16,dktin
2222149129469952519,2017-05-24T23:33:39,Luke-Cseh
1585725808050176377,2014-12-28T21:14:07,Gianna-Genova
2232700186394624543,2017-06-08T12:56:43,F1rsty
2043737714720768432,2016-09-20T19:42:01,amelialeechee
2136626717261824642,2017-01-26T23:35:53,jacklenahan
2082947511353344226,2016-11-13T22:04:53,Mason-Rush-2
2210690760704000038,2017-05-09T04:07:55,Janessa-Staab
2046709060337664847,2016-09-24T22:05:33,MarkPeng224
2157478431162368736,2017-02-24T18:04:31,Taylor-McLaughlin-13
2247547032698880185,2017-06-29T00:34:45,Aylin-Gunal
1868662801694720176,2016-01-23T06:19:25,Mason-Casey
2537281038581760742,2018-08-02T18:44:30,Nikki-Wrape
1767542804709376688,2015-09-05T17:52:02,Julia-Poe
1762586009796608026,2015-08-29T21:43:46,Perveen-Wong
2258320974938112588,2017-07-13T21:20:39,Jackson-Williams-16
1506840034672640710,2014-09-11T01:02:10,DanielBelfer
2480278274572288467,2018-05-16T03:10:11,Daisy-Haas-1
2069146799964160140,2016-10-25T21:05:20,anniecho0
2199734995386368041,2017-04-24T01:20:46,McKinley-Yanke
1559704488640512918,2014-11-22T23:34:24,Ajit-Ghallon
2237934635843584193,2017-06-15T18:16:38,maxbohrer2
1900375187652609012,2016-03-07T00:26:16,miamaia
2081532411904000296,2016-11-11T23:13:20,justinromic
2031204849156096666,2016-09-03T12:41:27,Miranda-Gentile
2309270821404672516,2017-09-22T04:28:54,Mackenzie-Paddock-1
1891434802184192512,2016-02-23T16:23:19,Stefan-Urosevic
2284701326770176569,2017-08-19T06:53:42,eyHenri
2004689121968128216,2016-07-28T22:39:26,DietrichTribull
2103404516081664055,2016-12-12T03:29:18,brett-svenny
1799741469884416298,2015-10-20T04:05:02,katieraya
2128134853885952240,2017-01-15T06:24:04,Rhett-Rinehart
2496663407034368422,2018-06-07T17:44:31,ChelseaLiang
1825523688800256206,2015-11-24T17:49:42,Sam-Wallman-1
2251176020017152652,2017-07-04T00:44:54,Reid-Herbstreith
2270599212695552570,2017-07-30T19:55:19,avvilla
1923502345027584860,2016-04-07T22:15:48,Seamus-Ward
1635078824263680414,2015-03-06T23:29:45,Eli-Offer
2099645144629248517,2016-12-06T23:00:06,gillhendo
1947892508000256472,2016-05-11T13:54:42,YimingZhang88
1667029891284992377,2015-04-20T01:30:49,Ulises-Mireles
1544422130974720565,2014-11-01T21:31:05,Creeandrews
1864079316615168496,2016-01-16T22:32:51,mollyneal
1768922017693696417,2015-09-07T15:32:17,JJWakim
2297414547406848175,2017-09-05T19:52:36,George-McGuigan-1
2170512625106944089,2017-03-14T17:41:08,g-duncan
2075533466664960191,2016-11-03T16:34:30,richmondvin
1810379608948736510,2015-11-03T20:21:07,Bailey-Buckley
1994616224088064667,2016-07-15T01:06:23,eelnayr
1976524823592960491,2016-06-20T02:02:00,Quinn-Gaughan
2306378035101696124,2017-09-18T04:41:27,Jedrek-Sanchez-Howe
2414840530337792842,2018-02-14T20:17:04,jasonkimkim
1882942125113344961,2016-02-11T23:09:53,alyssarredondo
2161306295599104826,2017-03-02T00:49:48,Annie-Trucco
2009635481452544390,2016-08-04T18:26:58,Jon-Bindi
1956067978248193007,2016-05-22T20:37:54,jus10voong
1808183806918656135,2015-10-31T19:38:27,DevonFeaster
2060368776003584122,2016-10-13T18:24:58,David-Jia-1337
2433764835721216465,2018-03-12T22:56:17,salinasr500
2004141421363200055,2016-07-28T04:31:15,amburrito123
1952727231889408908,2016-05-18T06:00:26,Jasper-Bucad
1432267272486912506,2014-05-31T03:39:24,jesse-shatsky
2119184192372736417,2017-01-02T22:00:42,Margot-Brunette
2408979644809216432,2018-02-06T18:12:32,Charityt70301
2178508528812032553,2017-03-25T18:27:34,kimevan98
2528088558665728145,2018-07-21T02:20:41,Dillon-Coffey-2
2030087369129984999,2016-09-01T23:41:13,hollyshulman12
2082431108644864561,2016-11-13T04:58:53,leishamo
2132789264646144771,2017-01-21T16:31:33,SvmWhitney
1534228823015424512,2014-10-18T19:58:48,sharina-champa
1489836099764224868,2014-08-18T13:58:23,ariel-abad
1751075245785088010,2015-08-14T00:33:56,NoahVillegas
1965055767740416890,2016-06-04T06:15:02,allisoncoroza
1963544241242112523,2016-06-02T04:11:54,Marcelo-Salvador
1757412193206272100,2015-08-22T18:24:19,Kit-Chavers
2306237517529088344,2017-09-18T00:02:16,Simran-Vinaik
1385722896449536025,2014-03-27T22:24:02,stephen-ayres
2206178914336768928,2017-05-02T22:43:41,Akshata-Nagendra
1890845032710144189,2016-02-22T20:51:33,tylerwatson16
1780162140045312487,2015-09-23T03:44:24,Reid-Trauernicht
2361600862322688360,2017-12-03T09:19:21,briannlee
2134434757214208298,2017-01-23T23:00:51,shaye_w
2246819857825792649,2017-06-28T00:29:59,jsmith614
2034973297082368473,2016-09-08T17:28:41,Matt-Donnelly-7
2094751440437248843,2016-11-30T04:57:11,Alex-R
1997933281017856557,2016-07-19T14:56:47,Hanna-Olsson
2112151451860992462,2016-12-24T05:07:54,Jackson-Diaz
2476309548630016248,2018-05-10T15:45:02,Issy-Harries
1681200355737600690,2015-05-09T14:45:00,iamConnorJones
1739259035779072875,2015-07-28T17:17:14,Carol-Woo
1861925457625088472,2016-01-13T23:13:31,e_schnake
2261471274729472419,2017-07-18T05:39:44,tessrodriguez
2042939094073344193,2016-09-19T17:15:18,JustinLazarski
1787317035466752413,2015-10-03T00:39:54,brianagrogan
2009134278901760749,2016-08-04T01:51:10,OliverChow
2263541465743360451,2017-07-21T02:12:50,cgarrett0
2260255178227712649,2017-07-16T13:23:34,AlexPastor
1827360131252224788,2015-11-27T06:38:23,Evelyne-Mugabe
2040388210655232745,2016-09-16T04:47:09,erin_kim_
2169805440286720863,2017-03-13T18:16:05,EmilyFalla
2014193557438464582,2016-08-11T01:23:03,JackGa0
1778657173438464753,2015-09-21T01:54:18,Jillian-Regiec
1611375923167232875,2015-02-02T06:36:19,EdenShemuelian
1747383729782784854,2015-08-08T22:19:33,Callie-Pilgrim
2024323707568128236,2016-08-25T00:49:51,Stephen-Kragen
1940799403065344520,2016-05-01T19:01:58,Ira-Juntilla
2287527239090176225,2017-08-23T04:28:17,allymiriani
2425878571122688441,2018-03-02T01:47:41,Emma-Lochabay
1788065743896576366,2015-10-04T01:27:27,Rahul-Jaisingh
2016914670878720740,2016-08-14T19:29:25,michaelrini
1983358133338112682,2016-06-29T12:18:34,robinross2
1994076442329088940,2016-07-14T07:13:56,albertkimbab
1902349983416320470,2016-03-09T17:49:50,Connor-Mairena
1678550646128640546,2015-05-05T23:00:30,Jwoodworth
2012549734203392577,2016-08-08T18:57:04,angelaparkk
1999970051817472022,2016-07-22T10:23:29,Asher-Frankel
1952027051556864727,2016-05-17T06:49:18,Derek-Atienza
1794509956448256270,2015-10-12T22:50:57,Emily-Sinclair-2
2181620165509120455,2017-03-30T01:29:50,Robin-Suralta
1927731906347008966,2016-04-13T18:19:11,Caroline-Wilford
2263530443112448400,2017-07-21T01:50:56,Gerson-Bello
1973344601636864120,2016-06-15T16:43:28,Mitchell-Ciupak
2281407464341504206,2017-08-14T17:49:23,kateshiber
1568212533641216384,2014-12-04T17:18:22,Adam-Wright-18
2377852691415040713,2017-12-25T19:28:50,clayborrows
1707540140261376332,2015-06-14T22:57:27,Shawn-Cai
1883680960151552357,2016-02-12T23:37:49,Abby-Rosler
1740835280388096799,2015-07-30T21:28:57,ChiefVilla
2162203826323456369,2017-03-03T06:33:02,Quron-Marks
1485701606539264416,2014-08-12T21:03:53,johnkmai
1651740898230272702,2015-03-29T23:14:19,Connor-Ryland
2224363201888256703,2017-05-28T00:52:37,DevonLa-Pierre
2516498044157952979,2018-07-05T02:32:24,blingq
1822834108137472848,2015-11-21T00:45:59,Fabian-Chavez-4
2118622398906368455,2017-01-02T03:24:31,Annabel-Cowen
2066063575482368533,2016-10-21T14:59:31,tylercarney
1874398587912192234,2016-01-31T04:15:24,walkers16
1815437453033472297,2015-11-10T19:50:09,Cassie-Vlahos
2081709696745472331,2016-11-12T05:05:34,John-Cotter-6
2034212710383616823,2016-09-07T16:17:32,Nate-Hough
2147361568587776423,2017-02-10T19:04:07,TaylorGioia
2283118773927936293,2017-08-17T02:29:27,Ellen-Park-15
2109245243785216928,2016-12-20T04:53:47,tthytran
2291795287343104037,2017-08-29T01:48:08,patrickc410
2167743017123840485,2017-03-10T21:58:25,nickcheng201
1754495692308480381,2015-08-18T17:49:45,Zach-Wilhelm-2
1408684278153216258,2014-04-28T14:44:12,derek-ruan
2071339397545984992,2016-10-28T21:41:38,BaoYu-Lin
2342423120314368628,2017-11-06T22:16:36,Garrison-Hill-2
2225104780001280032,2017-05-29T01:26:00,layneowen
2281732304797696497,2017-08-15T04:34:47,Drew-Borchers
2243379052150784492,2017-06-23T06:33:43,Reamonn-Ryan
2303520791330816688,2017-09-14T06:04:37,CameronLewisUW
2195460479516672231,2017-04-18T03:48:04,Eliana-Jurado
1441345751220224036,2014-06-12T16:16:43,brandon-sward
2057643812192256062,2016-10-10T00:10:57,Reed-Courtney
2291695051866112626,2017-08-28T22:28:59,Maleni-Morales-1
2430791812382720358,2018-03-08T20:29:25,Joshua-Johns-11
2126406255378432930,2017-01-12T21:09:39,JohnnyChen_
1958303106072576239,2016-05-25T22:38:42,Yan_homy
1819976168112128581,2015-11-17T02:07:46,Sheila-Subramanian
2053986546876416681,2016-10-04T23:04:37,Jack-Okonczak
2009178671415296831,2016-08-04T03:19:22,Madison-Paddock-1
1773546078470144205,2015-09-14T00:39:28,JeremyElliotLevine
1956300871172096449,2016-05-23T04:20:37,Rdod15
1924718600912896421,2016-04-09T14:32:17,marisabenyishay
2275783666040832259,2017-08-06T23:35:54,Alex-Gonzalez-Garcia
2254797969293312044,2017-07-09T00:41:04,smorazem
1900936041594880636,2016-03-07T19:00:35,Joseph-Williams-45
2007003270479872319,2016-08-01T03:17:14,Annie-Kunsman
2001217043562496189,2016-07-24T03:41:02,Angelo-Tonas
1758504079589376196,2015-08-24T06:33:42,Andrielle-Tiu
1775045265326080133,2015-09-16T02:18:05,spencerhammond
1870115339501568154,2016-01-25T06:25:21,geennaa
